81.00000,75.00000,69.00000,73.00000,81.00000,80.00000,37.00000,6.66667,16.25000,51.42857,30.00000,48.00000
89.00000,80.00000,73.00000,77.00000,88.00000,94.00000,32.00000,6.66667,15.00000,47.14286,28.33333,56.00000
86.00000,77.00000,82.00000,91.00000,95.00000,76.00000,13.00000,5.55556,20.00000,48.57143,35.00000,68.00000
80.00000,77.00000,71.00000,78.00000,77.00000,38.00000,12.00000,5.55556,22.50000,45.71429,50.00000,56.00000
84.00000,77.00000,57.00000,56.00000,62.00000,30.00000,16.00000,6.66667,28.75000,50.00000,60.00000,56.00000
84.00000,76.00000,58.00000,43.00000,37.00000,25.00000,16.00000,8.88889,33.75000,50.00000,73.33333,64.00000
81.00000,76.00000,71.00000,66.00000,48.00000,23.00000,17.00000,10.00000,36.25000,55.71429,70.00000,58.00000
77.00000,72.00000,69.00000,66.00000,69.00000,44.00000,14.00000,13.33333,38.75000,65.71429,71.66666,58.00000
75.00000,69.00000,59.00000,53.00000,63.00000,64.00000,21.00000,14.44444,45.00000,77.14286,81.66666,60.00000
72.00000,66.00000,65.00000,57.00000,59.00000,66.00000,22.00000,18.88889,82.50000,80.00000,81.66666,66.00000
73.00000,61.00000,65.00000,84.00000,87.00000,57.00000,13.00000,10.00000,95.00000,82.85715,61.66666,60.00000
71.00000,66.00000,70.00000,79.00000,77.00000,30.00000,14.00000,34.44445,86.25000,72.85715,63.33333,42.00000
70.00000,69.00000,71.00000,74.00000,74.00000,34.00000,16.00000,30.00000,96.25000,67.14286,63.33333,32.00000
67.00000,67.00000,67.00000,71.00000,76.00000,32.00000,23.00000,38.88889,88.75000,71.42857,45.00000,42.00000
62.00000,66.00000,66.00000,71.00000,71.00000,28.00000,18.00000,32.22222,88.75000,55.71429,21.66667,12.00000
56.00000,61.00000,67.00000,74.00000,73.00000,38.00000,46.00000,25.55556,77.50000,31.42857,13.33333,14.00000
55.00000,59.00000,64.00000,72.00000,73.00000,53.00000,65.00000,46.66667,68.75000,25.71429,20.00000,12.00000
53.00000,59.00000,66.00000,77.00000,81.00000,58.00000,60.00000,38.88889,72.50000,24.28572,21.66667,18.00000
53.00000,56.00000,60.00000,62.00000,64.00000,54.00000,35.00000,44.44445,58.75000,24.28572,28.33333,28.00000
51.00000,55.00000,59.00000,64.00000,64.00000,42.00000,20.00000,37.77778,47.50000,21.42857,31.66667,26.00000
48.00000,50.00000,53.00000,59.00000,57.00000,32.00000,19.00000,53.33334,56.25000,22.85714,31.66667,26.00000
50.00000,54.00000,60.00000,66.00000,66.00000,44.00000,30.00000,55.55556,62.50000,28.57143,40.00000,22.00000
53.00000,57.00000,64.00000,69.00000,67.00000,45.00000,25.00000,50.00000,65.00000,27.14286,35.00000,18.00000
56.00000,58.00000,59.00000,56.00000,52.00000,40.00000,21.00000,42.22223,67.50000,30.00000,16.66667,14.00000
